# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-hayamhassan | Generated: 2026-09-26 16:10

=== 1. SOP PENDING TASKS (11) ===
Student_ID,Task_Name,Expiration_Time
60676118,"English Club Booking",20260928 18:55:00
63035223,"English Club Booking",20260928 18:55:00
63456265,"Round 2  Trust Enhancement (First Class Follow-up)",20260928 18:55:00
63771368,"SS:Service warning - absence",20260928 18:55:00
63793694,"SS:Service warning - absence",20260928 18:55:00
63891622,"SS:Service warning - absence",20260928 18:55:00
64180190,"Round 2  Trust Enhancement (First Class Follow-up)",20260928 18:55:00
64202682,"English Club Booking",20260928 18:55:00
64258334,"English Club Booking",20260928 18:55:00
64258408,"Round 2  Trust Enhancement (First Class Follow-up)",20260928 18:55:00
64171406,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (16) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
63730359,"1",0,"Booking Required"
63782743,"3",0,"Booking Required"
60110633,"1",1,"Attended"
63757854,"1",0,"Booking Required"
63764411,"2",0,"Booking Required"
63793694,"2",1,"Attended"
63730358,"0",0,"Booking Required"
63762996,"0",0,"Booking Required"
63730360,"1",0,"Booking Required"
58653432,"0",1,"Attended"
62864918,"2",0,"Booked"
63780391,"2",1,"Attended"
59790908,"0",0,"Booked"
63604457,"2",1,"Attended"
63789772,"2",1,"Attended"
63785454,"1",1,"Attended"
63801429,"1",0,"Booking Required"
63868002,"2",0,"Booking Required"
63886277,"1",0,"Booked"
62826545,"3",0,"Booked"
63863357,"3",0,"Booking Required"
63888032,"2",0,"Booking Required"
57937832,"0",1,"Attended"
57940129,"1",1,"Attended"
63028427,"0",0,"Booking Required"
61414952,"1",1,"Attended"
63877766,"0",0,"Booked"
63901943,"0",0,"Booking Required"
63891622,"1",0,"Booked"
61586385,"3",1,"Attended"
63917493,"2",0,"Booked"
63912482,"1",0,"Booked"
63902700,"0",0,"Booking Required"
63920539,"3",0,"Booked"
58660535,"1",0,"Booked"
63924737,"0",1,"Attended"
63954159,"1",0,"Booked"
63986210,"2",0,"Booked"
64057444,"0",1,"Attended"
64105746,"1",1,"Attended"
63966889,"3",0,"Booking Required"
64113613,"0",0,"Booking Required"
64164227,"1",0,"Booking Required"
64171255,"1",0,"Booking Required"
64171406,"2",0,"Booking Required"
64202682,"3",0,"Booking Required"
59438569,"3",0,"Booking Required"
64258334,"3",0,"Booking Required"
64301780,"3",0,"Booking Required"
60713073,"1",0,"Booking Required"
64341723,"1",0,"Booking Required"
64348440,"1",0,"Booking Required"
64327809,"0",0,"Booking Required"
64388847,"2",0,"Booking Required"
58603971,"2",0,"Booking Required"
64418743,"0",0,"Booking Required"
63456265,"2",0,"Booking Required"
64180190,"0",0,"Booking Required"
